who,seed,id,title,stage,mode,raw_score,official_score,final_goals,credited_constraints,action_count,action_cost,base_score,efficiency_score,platform_seconds,status,output
reference,natural,01,自由终态汇聚,1,it,294,294,7,0,16,48,232,62,1.875,ok,test-results/liuyifan1.0-20260924-final/reference-natural-01-it
reference,natural,02,搬运与到达共享终态,1,it,374,374,9,0,16,48,312,62,1.847,ok,test-results/liuyifan1.0-20260924-final/reference-natural-02-it
reference,natural,03,must-near 纠错与缺失补全,2,it,376,376,7,2,8,24,296,80,0.915,ok,test-results/liuyifan1.0-20260924-final/reference-natural-03-it
reference,natural,04,容器状态纠错与合法语言扰动,2,it,302,302,6,2,15,44,236,66,1.648,ok,test-results/liuyifan1.0-20260924-final/reference-natural-04-it
reference,natural,05,牺牲一个约束解锁四个目标,1,it,296,296,6,0,10,20,220,76,1.109,ok,test-results/liuyifan1.0-20260924-final/reference-natural-05-it
reference,natural,06,放弃低收益目标保住三个约束,1,it,322,322,5,3,7,20,240,82,0.82,ok,test-results/liuyifan1.0-20260924-final/reference-natural-06-it
fixed,natural,01,自由终态汇聚,1,it,292,292,7,0,16,48,232,60,1.902,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-01-it
fixed,natural,01,自由终态汇聚,1,nt,294,294,7,0,16,48,232,62,1.873,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-01-nt
fixed,natural,02,搬运与到达共享终态,1,it,374,374,9,0,16,48,312,62,1.83,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-02-it
fixed,natural,02,搬运与到达共享终态,1,nt,374,374,9,0,16,48,312,62,1.835,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-02-nt
fixed,natural,03,must-near 纠错与缺失补全,2,it,373,373,7,2,9,25,295,78,1.043,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-03-it
fixed,natural,03,must-near 纠错与缺失补全,2,nt,373,373,7,2,9,25,295,78,1.078,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-03-nt
fixed,natural,04,容器状态纠错与合法语言扰动,2,it,253,253,5,2,18,47,193,60,1.995,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-04-it
fixed,natural,04,容器状态纠错与合法语言扰动,2,nt,253,253,5,2,18,47,193,60,1.965,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-04-nt
fixed,natural,05,牺牲一个约束解锁四个目标,1,it,296,296,6,0,10,20,220,76,1.128,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-05-it
fixed,natural,05,牺牲一个约束解锁四个目标,1,nt,296,296,6,0,10,20,220,76,1.151,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-05-nt
fixed,natural,06,放弃低收益目标保住三个约束,1,it,324,324,5,3,7,20,240,84,0.793,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-06-it
fixed,natural,06,放弃低收益目标保住三个约束,1,nt,322,322,5,3,7,20,240,82,0.813,ok,test-results/liuyifan1.0-20260924-final/fixed-natural-06-nt
fixed,20260924,03,must-near 纠错与缺失补全,2,it,373,373,7,2,9,25,295,78,1.052,ok,test-results/liuyifan1.0-20260924-final/fixed-20260924-03-it
fixed,20260924,03,must-near 纠错与缺失补全,2,nt,373,373,7,2,9,25,295,78,1.058,ok,test-results/liuyifan1.0-20260924-final/fixed-20260924-03-nt
fixed,20260924,04,容器状态纠错与合法语言扰动,2,it,251,251,5,2,18,47,193,58,2.005,ok,test-results/liuyifan1.0-20260924-final/fixed-20260924-04-it
fixed,20260924,04,容器状态纠错与合法语言扰动,2,nt,251,251,5,2,18,47,193,58,2.001,ok,test-results/liuyifan1.0-20260924-final/fixed-20260924-04-nt
fixed,20260925,03,must-near 纠错与缺失补全,2,it,373,373,7,2,9,25,295,78,1.096,ok,test-results/liuyifan1.0-20260924-final/fixed-20260925-03-it
fixed,20260925,03,must-near 纠错与缺失补全,2,nt,373,373,7,2,9,25,295,78,1.032,ok,test-results/liuyifan1.0-20260924-final/fixed-20260925-03-nt
fixed,20260925,04,容器状态纠错与合法语言扰动,2,it,253,253,5,2,18,47,193,60,1.985,ok,test-results/liuyifan1.0-20260924-final/fixed-20260925-04-it
fixed,20260925,04,容器状态纠错与合法语言扰动,2,nt,253,253,5,2,18,47,193,60,1.98,ok,test-results/liuyifan1.0-20260924-final/fixed-20260925-04-nt
